x,y,z,class,sound_path
-1.9428271,11.561708,-4.219698,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_121.5-126.0.wav
-2.0181592,11.047778,-4.0067096,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_126.0-130.5.wav
2.7746296,15.260188,1.7912265,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_13.5-18.0.wav
-2.009081,11.593753,-4.477624,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_130.5-135.0.wav
-1.9248517,11.690959,-4.2559953,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_135.0-139.5.wav
2.5239031,14.784566,1.3523563,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_139.5-144.0.wav
2.6881323,14.501222,1.7152388,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_144.0-148.5.wav
2.5099273,14.7723055,1.3516128,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_148.5-153.0.wav
2.4987724,14.789844,1.3389223,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_153.0-157.5.wav
2.0839028,14.367027,1.8576071,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_157.5-162.0.wav
-1.4477184,11.298138,-2.803296,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_162.0-166.5.wav
2.6326363,14.611885,1.5215098,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_166.5-171.0.wav
2.4955778,14.481715,1.4265603,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_171.0-175.5.wav
2.7274647,14.521545,1.6512816,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_175.5-180.0.wav
2.7758949,15.281595,1.8224268,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_18.0-22.5.wav
2.583801,14.461343,1.4890207,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_180.0-184.5.wav
2.6454616,14.349498,1.5283048,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_184.5-189.0.wav
2.6731637,14.408237,1.6931525,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_189.0-193.5.wav
2.6138465,14.407451,1.5539191,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_193.5-198.0.wav
2.5694487,14.312286,1.6044054,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_198.0-202.5.wav
2.7209208,14.399656,1.6226898,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_202.5-207.0.wav
-1.49803,11.217949,-2.9524343,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_207.0-211.5.wav
2.5211134,14.311883,1.5834148,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_211.5-216.0.wav
2.4583175,14.284777,1.6613333,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_216.0-220.5.wav
1.6692736,14.748683,2.0059214,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_22.5-27.0.wav
2.7013376,14.404593,1.6225072,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_220.5-225.0.wav
2.5612407,14.433231,1.4959776,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_225.0-229.5.wav
2.70482,14.43777,1.6385568,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_229.5-234.0.wav
-1.4468616,10.509217,-4.3563676,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_234.0-238.5.wav
2.6853132,14.35142,1.5138781,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_238.5-243.0.wav
2.5077915,14.281917,1.6425048,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_243.0-247.5.wav
2.7998223,14.526626,1.7161835,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_247.5-252.0.wav
2.7131665,14.452157,1.6634718,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_252.0-256.5.wav
2.8161864,14.520917,1.722007,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_256.5-261.0.wav
2.6987684,14.4521055,1.6538066,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_261.0-265.5.wav
2.6772544,14.468674,1.6568627,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_265.5-270.0.wav
2.7398336,15.229659,1.8658991,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_27.0-31.5.wav
2.7562556,14.560962,1.6718963,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_270.0-274.5.wav
2.82754,14.566242,1.7701622,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_274.5-279.0.wav
2.7086794,14.527529,1.7153203,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_279.0-283.5.wav
2.1928222,14.354894,1.4714319,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_283.5-288.0.wav
2.660141,14.357884,1.5203904,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_288.0-292.5.wav
2.450707,14.313803,1.6698352,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_292.5-297.0.wav
