x,y,z,class,sound_path
-0.7340092,-2.102578,5.6385994,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1138.5-1143.0.wav
-0.40491253,-2.2394066,5.5393305,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1143.0-1147.5.wav
-1.2568009,-2.6215174,6.1543436,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1147.5-1152.0.wav
-1.6200738,-2.3026032,5.429372,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1152.0-1156.5.wav
0.07648781,-2.4610376,5.446569,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1156.5-1161.0.wav
-0.7300522,-2.4796774,6.520948,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1161.0-1165.5.wav
-0.73692024,-2.4828565,6.5143523,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1165.5-1170.0.wav
-1.0993731,-1.9483671,5.815912,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_117.0-121.5.wav
-1.1460172,-2.5433455,6.284159,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1170.0-1174.5.wav
-1.6159252,-2.30944,5.4296894,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1174.5-1179.0.wav
-0.71126413,-2.4964128,6.5346127,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1179.0-1183.5.wav
-0.61495936,-2.567848,6.6433716,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1183.5-1188.0.wav
-0.5763391,-2.579799,6.6642437,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1188.0-1192.5.wav
-0.8971165,-2.6406667,5.8175783,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1192.5-1197.0.wav
-0.8062555,-2.655898,5.7583566,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1197.0-1201.5.wav
-1.3771904,-2.3021681,6.095744,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_121.5-126.0.wav
-1.8072613,-2.5395093,5.712301,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_126.0-130.5.wav
-1.2317426,-2.373213,5.6637974,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_13.5-18.0.wav
-0.2640075,-2.3117323,5.611165,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_130.5-135.0.wav
-1.3021939,-2.432197,6.162553,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_135.0-139.5.wav
